Riversystem mini_uTAHPS_qmin reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2024 1 4 11 0.6370 
2024 1 4 12 0.6369 
2024 1 4 13 0.6369 
2024 1 4 14 0.6369 
2024 1 4 15 0.6368 
2024 1 4 16 0.6368 
2024 1 4 17 0.6367 
2024 1 4 18 0.6367 
2024 1 4 19 0.6367 
2024 1 4 20 0.6366 
2024 1 4 21 0.6366 
2024 1 4 22 0.6365 
2024 1 4 23 0.6365 
2024 1 5 0 0.6365 
2024 1 5 1 0.6364 
2024 1 5 2 0.6364 
2024 1 5 3 0.6363 
2024 1 5 4 0.6363 
2024 1 5 5 0.6363 
2024 1 5 6 0.6362 
2024 1 5 7 0.6362 
2024 1 5 8 0.6361 
2024 1 5 9 0.6361 
2024 1 5 10 0.6361 
2024 1 5 11 0.6360 
2024 1 5 12 0.6360 
2024 1 5 13 0.6359 
2024 1 5 14 0.6359 
2024 1 5 15 0.6359 
2024 1 5 16 0.6358 
2024 1 5 17 0.6358 
2024 1 5 18 0.6357 
2024 1 5 19 0.6357 
2024 1 5 20 0.6357 
2024 1 5 21 0.6356 
2024 1 5 22 0.6356 
2024 1 5 23 0.6355 
2024 1 6 0 0.6355 
2024 1 6 1 0.6355 
2024 1 6 2 0.6354 
2024 1 6 3 0.6354 
2024 1 6 4 0.6353 
2024 1 6 5 0.6353 
2024 1 6 6 0.6353 
2024 1 6 7 0.6352 
2024 1 6 8 0.6352 
2024 1 6 9 0.6351 
2024 1 6 10 0.6351 
2024 1 6 11 0.6351 
2024 1 6 12 0.6350 
2024 1 6 13 0.6350 
2024 1 6 14 0.6349 
2024 1 6 15 0.6349 
2024 1 6 16 0.6349 
2024 1 6 17 0.6348 
2024 1 6 18 0.6348 
2024 1 6 19 0.6347 
2024 1 6 20 0.6347 
2024 1 6 21 0.6347 
2024 1 6 22 0.6346 
2024 1 6 23 0.6346 
2024 1 7 0 0.6345 
2024 1 7 1 0.6345 
2024 1 7 2 0.6345 
2024 1 7 3 0.6344 
2024 1 7 4 0.6344 
2024 1 7 5 0.6343 
2024 1 7 6 0.6343 
2024 1 7 7 0.6343 
2024 1 7 8 0.6342 
2024 1 7 9 0.6342 
2024 1 7 10 0.6341 
2024 1 7 11 0.6341 
2024 1 7 12 0.6341 
2024 1 7 13 0.6340 
2024 1 7 14 0.6340 
2024 1 7 15 0.6339 
2024 1 7 16 0.6339 
2024 1 7 17 0.6339 
2024 1 7 18 0.6338 
2024 1 7 19 0.6338 
2024 1 7 20 0.6337 
2024 1 7 21 0.6337 
2024 1 7 22 0.6337 
2024 1 7 23 0.6336 
2024 1 8 0 0.6336 
2024 1 8 1 0.6335 
